          x[m]          y[m]          z[m]      SEL[dBA]    LAmax[dBA]   EPNL[EPNdB]  PNLTM[TPNdB]
      -2125.00      -2000.00          0.00         44.00         34.69         42.48         43.94
      -2125.00      -1875.00          0.00         44.29         35.12         43.05         44.42
      -2125.00      -1750.00          0.00         44.55         35.55         43.38         44.90
      -2125.00      -1625.00          0.00         44.80         35.98         43.72         45.37
      -2125.00      -1500.00          0.00         45.05         36.39         44.05         45.83
      -2125.00      -1375.00          0.00         45.29         36.80         44.38         46.28
      -2125.00      -1250.00          0.00         45.53         37.19         44.72         46.72
      -2125.00      -1125.00          0.00         45.68         37.56         45.03         47.13
      -2125.00      -1000.00          0.00         45.75         37.91         45.33         47.52
      -2125.00       -875.00          0.00         45.78         38.23         45.64         47.88
      -2125.00       -750.00          0.00         45.76         38.52         45.96         48.20
      -2125.00       -625.00          0.00         45.68         38.77         46.28         48.49
      -2125.00       -500.00          0.00         45.58         38.99         46.58         48.73
      -2125.00       -375.00          0.00         45.48         39.16         46.81         48.92
      -2125.00       -250.00          0.00         45.30         39.29         47.03         49.06
      -2125.00       -125.00          0.00         45.06         39.36         47.19         49.14
      -2125.00          0.00          0.00         44.86         39.39         47.17         49.17
      -2125.00        125.00          0.00         45.06         39.36         47.19         49.14
      -2125.00        250.00          0.00         45.30         39.29         47.03         49.06
      -2125.00        375.00          0.00         45.48         39.16         46.81         48.92
      -2125.00        500.00          0.00         45.58         38.99         46.57         48.73
      -2125.00        625.00          0.00         45.68         38.77         46.28         48.49
      -2125.00        750.00          0.00         45.76         38.52         45.96         48.20
      -2125.00        875.00          0.00         45.78         38.23         45.64         47.88
      -2125.00       1000.00          0.00         45.75         37.91         45.33         47.52
      -2125.00       1125.00          0.00         45.68         37.56         45.03         47.13
      -2125.00       1250.00          0.00         45.53         37.19         44.71         46.72
      -2125.00       1375.00          0.00         45.29         36.80         44.38         46.28
      -2125.00       1500.00          0.00         45.05         36.39         44.05         45.83
      -2125.00       1625.00          0.00         44.80         35.98         43.72         45.37
      -2125.00       1750.00          0.00         44.55         35.55         43.38         44.90
      -2125.00       1875.00          0.00         44.30         35.12         43.05         44.42
      -2125.00       2000.00          0.00         44.01         34.69         42.47         43.94
      -2125.00       2125.00          0.00         43.71         34.25         41.85         43.45
      -2125.00       2250.00          0.00         43.41         33.80         41.26         42.90
      -2125.00       2375.00          0.00         43.12         33.33         40.69         42.30
      -2125.00       2500.00          0.00         42.83         32.87         40.15         41.70
      -2125.00       2625.00          0.00         42.55         32.40         39.62         41.11
      -2125.00       2750.00          0.00         42.27         31.95         39.12         40.52
      -2125.00       2875.00          0.00         41.99         31.50         38.64         39.94
      -2125.00       3000.00          0.00         41.71         31.05         38.16         39.37
      -2000.00      -3000.00          0.00         41.99         31.36         38.52         39.77
      -2000.00      -2875.00          0.00         42.28         31.83         39.00         40.36
      -2000.00      -2750.00          0.00         42.57         32.30         39.49         40.97
      -2000.00      -2625.00          0.00         42.86         32.77         40.00         41.59
      -2000.00      -2500.00          0.00         43.15         33.26         40.53         42.21
      -2000.00      -2375.00          0.00         43.45         33.75         41.08         42.84
      -2000.00      -2250.00          0.00         43.76         34.23         41.66         43.42
      -2000.00      -2125.00          0.00         44.07         34.69         42.26         43.94
      -2000.00      -2000.00          0.00         44.38         35.15         42.89         44.45
      -2000.00      -1875.00          0.00         44.69         35.61         43.47         44.97
      -2000.00      -1750.00          0.00         44.96         36.07         43.83         45.48
      -2000.00      -1625.00          0.00         45.23         36.53         44.18         45.99
      -2000.00      -1500.00          0.00         45.49         36.98         44.53         46.49
      -2000.00      -1375.00          0.00         45.76         37.42         44.89         46.98
      -2000.00      -1250.00          0.00         46.02         37.84         45.24         47.45
      -2000.00      -1125.00          0.00         46.19         38.25         45.58         47.90
      -2000.00      -1000.00          0.00         46.28         38.63         45.90         48.33
      -2000.00       -875.00          0.00         46.34         38.99         46.23         48.73
      -2000.00       -750.00          0.00         46.35         39.31         46.57         49.08
      -2000.00       -625.00          0.00         46.29         39.60         46.92         49.40
      -2000.00       -500.00          0.00         46.21         39.84         47.23         49.67
      -2000.00       -375.00          0.00         46.13         40.03         47.49         49.89
      -2000.00       -250.00          0.00         45.96         40.17         47.74         50.04
      -2000.00       -125.00          0.00         45.70         40.26         47.91         50.14
      -2000.00          0.00          0.00         45.47         40.29         47.91         50.17
      -2000.00        125.00          0.00         45.70         40.26         47.91         50.14
      -2000.00        250.00          0.00         45.96         40.17         47.74         50.04
      -2000.00        375.00          0.00         46.13         40.03         47.49         49.89
      -2000.00        500.00          0.00         46.22         39.84         47.23         49.67
      -2000.00        625.00          0.00         46.29         39.60         46.92         49.40
      -2000.00        750.00          0.00         46.35         39.31         46.57         49.08
      -2000.00        875.00          0.00         46.34         38.99         46.23         48.73
      -2000.00       1000.00          0.00         46.28         38.63         45.90         48.33
