          x[m]          y[m]          z[m]      SEL[dBA]    LAmax[dBA]   EPNL[EPNdB]  PNLTM[TPNdB]
     104437.00     481220.00          0.00          7.21         27.75          3.63         33.87
     104437.00     481345.00          0.00          6.82         27.42          3.05         33.41
     104437.00     481470.00          0.00          6.39         27.09          2.42         32.95
     104437.00     481595.00          0.00          5.97         26.77          1.81         32.49
     104437.00     481720.00          0.00          5.56         26.44          1.22         32.04
     104437.00     481845.00          0.00          5.15         26.12          0.65         31.59
     104437.00     481970.00          0.00          4.76         25.80          0.09         31.13
     104437.00     482095.00          0.00          4.37         25.48          0.00         30.68
     104437.00     482220.00          0.00          3.99         25.16          0.00         30.24
     104437.00     482345.00          0.00          3.62         24.84          0.00         29.79
     104437.00     482470.00          0.00          3.25         24.53          0.00         29.35
     104437.00     482595.00          0.00          2.89         24.21          0.00         28.91
     104437.00     482720.00          0.00          2.54         23.90          0.00         28.47
     104437.00     482845.00          0.00          2.19         23.60          0.00         28.04
     104437.00     482970.00          0.00          1.85         23.29          0.00         27.61
     104437.00     483095.00          0.00          1.51         22.99          0.00         27.19
     104437.00     483220.00          0.00          1.15         22.69          0.00         26.77
     104437.00     483345.00          0.00          0.79         22.39          0.00         26.35
     104437.00     483470.00          0.00          0.43         22.10          0.00         25.93
     104437.00     483595.00          0.00          0.07         21.81          0.00         25.52
     104437.00     483720.00          0.00          0.00         21.52          0.00         25.12
     104437.00     483845.00          0.00          0.00         21.24          0.00         24.71
     104437.00     483970.00          0.00          0.00         20.95          0.00         24.31
     104437.00     484095.00          0.00          0.00         20.67          0.00         23.92
     104437.00     484220.00          0.00          0.00         20.40          0.00         23.53
     104437.00     484345.00          0.00          0.00         20.12          0.00         23.14
     104437.00     484470.00          0.00          0.00         19.85          0.00         22.76
     104437.00     484595.00          0.00          0.00         19.58          0.00         22.38
     104437.00     484720.00          0.00          0.00         19.32          0.00         22.00
     104437.00     484845.00          0.00          0.00         19.05          0.00         21.63
     104437.00     484970.00          0.00          0.00         18.79          0.00         21.26
     104437.00     485095.00          0.00          0.00         18.54          0.00         20.90
     104437.00     485220.00          0.00          0.00         18.28          0.00         20.54
     104437.00     485345.00          0.00          0.00         18.03          0.00         20.18
     104437.00     485470.00          0.00          0.00         17.78          0.00         19.82
     104562.00     475470.00          0.00         11.45         32.43          8.92         40.04
     104562.00     475595.00          0.00         11.79         32.69          9.42         40.35
     104562.00     475720.00          0.00         12.12         32.93          9.94         40.65
     104562.00     475845.00          0.00         12.44         33.16         10.48         40.94
     104562.00     475970.00          0.00         12.76         33.38         11.03         41.21
     104562.00     476095.00          0.00         13.07         33.59         11.61         41.47
     104562.00     476220.00          0.00         13.36         33.78         12.19         41.71
     104562.00     476345.00          0.00         13.59         33.96         12.47         41.93
     104562.00     476470.00          0.00         13.80         34.12         12.75         42.13
     104562.00     476595.00          0.00         14.00         34.27         13.01         42.31
     104562.00     476720.00          0.00         14.18         34.40         13.25         42.47
     104562.00     476845.00          0.00         14.33         34.50         13.48         42.60
     104562.00     476970.00          0.00         14.41         34.59         13.69         42.71
     104562.00     477095.00          0.00         14.36         34.66         13.87         42.80
     104562.00     477220.00          0.00         14.26         34.71         14.05         42.86
     104562.00     477345.00          0.00         14.09         34.74         14.23         42.90
     104562.00     477470.00          0.00         13.85         34.75         14.42         42.91
     104562.00     477595.00          0.00         13.56         34.74         14.57         42.89
     104562.00     477720.00          0.00         13.26         34.71         14.67         42.85
     104562.00     477845.00          0.00         12.85         34.65         14.76         42.78
     104562.00     477970.00          0.00         12.07         34.58         15.06         42.69
     104562.00     478095.00          0.00         11.14         34.48         13.74         42.58
     104562.00     478220.00          0.00         11.00         34.37         13.60         42.44
     104562.00     478345.00          0.00         11.70         34.24         14.71         42.27
     104562.00     478470.00          0.00         12.25         34.09         14.18         42.09
     104562.00     478595.00          0.00         12.44         33.93         13.86         41.89
     104562.00     478720.00          0.00         12.52         33.74         13.54         41.66
     104562.00     478845.00          0.00         12.60         33.55         13.18         41.42
     104562.00     478970.00          0.00         12.66         33.34         12.79         41.16
     104562.00     479095.00          0.00         12.65         33.12         12.42         40.88
     104562.00     479220.00          0.00         12.58         32.88         12.06         40.59
     104562.00     479345.00          0.00         12.48         32.64         11.70         40.29
     104562.00     479470.00          0.00         12.26         32.38         11.34         39.97
     104562.00     479595.00          0.00         11.98         32.12         10.97         39.65
     104562.00     479720.00          0.00         11.68         31.85         10.59         39.31
     104562.00     479845.00          0.00         11.38         31.57         10.21         38.97
     104562.00     479970.00          0.00         11.07         31.28          9.83         38.61
     104562.00     480095.00          0.00         10.75         30.99          9.45         38.25
     104562.00     480220.00          0.00         10.39         30.70          8.77         37.89
     104562.00     480345.00          0.00         10.02         30.40          8.08         37.52
     104562.00     480470.00          0.00          9.65         30.10          7.42         37.15
     104562.00     480595.00          0.00          9.29         29.78          6.79         36.70
     104562.00     480720.00          0.00          8.92         29.44          6.17         36.24
     104562.00     480845.00          0.00          8.55         29.10          5.58         35.76
     104562.00     480970.00          0.00          8.19         28.77          5.01         35.29
     104562.00     481095.00          0.00          7.83         28.43          4.46         34.82
     104562.00     481220.00          0.00          7.48         28.09          3.93         34.34
     104562.00     481345.00          0.00          7.06         27.75          3.31         33.87
     104562.00     481470.00          0.00          6.62         27.41          2.68         33.40
     104562.00     481595.00          0.00          6.20         27.08          2.07         32.93
     104562.00     481720.00          0.00          5.78         26.74          1.48         32.46
     104562.00     481845.00          0.00          5.37         26.41          0.90         31.99
     104562.00     481970.00          0.00          4.97         26.08          0.33         31.52
     104562.00     482095.00          0.00          4.57         25.75          0.00         31.06
     104562.00     482220.00          0.00          4.19         25.42          0.00         30.60
     104562.00     482345.00          0.00          3.81         25.09          0.00         30.15
     104562.00     482470.00          0.00          3.43         24.77          0.00         29.69
     104562.00     482595.00          0.00          3.07         24.45          0.00         29.24
     104562.00     482720.00          0.00          2.71         24.13          0.00         28.80
     104562.00     482845.00          0.00          2.36         23.82          0.00         28.35
     104562.00     482970.00          0.00          2.01         23.51          0.00         27.92
     104562.00     483095.00          0.00          1.67         23.20          0.00         27.48
     104562.00     483220.00          0.00          1.30         22.89          0.00         27.05
     104562.00     483345.00          0.00          0.93         22.59          0.00         26.62
     104562.00     483470.00          0.00          0.57         22.29          0.00         26.20
     104562.00     483595.00          0.00          0.21         21.99          0.00         25.78
     104562.00     483720.00          0.00          0.00         21.70          0.00         25.37
     104562.00     483845.00          0.00          0.00         21.41          0.00         24.96
     104562.00     483970.00          0.00          0.00         21.12          0.00         24.55
     104562.00     484095.00          0.00          0.00         20.84          0.00         24.15
     104562.00     484220.00          0.00          0.00         20.55          0.00         23.75
     104562.00     484345.00          0.00          0.00         20.28          0.00         23.36
     104562.00     484470.00          0.00          0.00         20.00          0.00         22.97
     104562.00     484595.00          0.00          0.00         19.73          0.00         22.58
     104562.00     484720.00          0.00          0.00         19.46          0.00         22.20
